[SNID] Subject,[PT] Subject,Subject,Predicate,[SNID] Object,[PT] Object,Object,Sentence,Location,#Docs,Doc#,Doc,Source,#Hits,Hit#,Hit
nlm.D016211,Transforming Growth Factor alpha,TGF-alpha stimulation,added either simultaneously,ncbi.7039,TGFA,TGF-alpha,TGF-beta blocked TGF-alpha stimulation when added either simultaneously with TGF-alpha or a day later.,Standard Abstract,1,1,2922399,https://www.ncbi.nlm.nih.gov/pubmed/2922399,1,1,We investigated whether transforming growth factor alpha (TGF-alpha) is involved in hepatocyte growth responses both in vivo and in culture.... TGF-beta blocked TGF-alpha stimulation when added either simultaneously with TGF-alpha or a day later. ... eng
nlm.D016718,Arachidonic Acid,main arachidonic acid metabolites,formed,ncbi.4512,COX1,COX-1,"By using intact cell system (platelets) as a source of COX-1 and 12-LOX enzymes and highly sensitive and specific LC-MS/MS technique for detection of main arachidonic acid metabolites formed by COX-1 and 12-LOX, this test provides efficient method for evaluation of anti-inflammatory potential of plant extracts and isolated compounds.",Standard Abstract,1,1,20219312,https://www.ncbi.nlm.nih.gov/pubmed/20219312,1,1,"To evaluate anti-inflammatory activity of selected Plantago species (P. lanceolata L. and P. major L.) an optimized in vitro test for determination of cyclooxygenase-1 (COX-1) and 12-lipoxygenase (12-LOX) inhibition potency was undertaken. By using intact cell system (platelets) as a source of COX-1 and 12-LOX enzymes and highly sensitive and specific LC-MS/MS technique for detection of main arachidonic acid metabolites formed by COX-1 and 12-LOX, this test provides efficient method for evaluation of anti-inflammatory potential of plant extracts and isolated compounds.... eng"
nlm.D051219,Pituitary Adenylate Cyclase-Activating Polypeptide,PACAP,exerts,ncbi.3454,IFNAR1,AVP,"These findings demonstrate for the first time in humans that the systemic administration of PACAP exerts stimulatory effects on AVP, but not OT secretion.",Standard Abstract,1,1,7579131,https://www.ncbi.nlm.nih.gov/pubmed/7579131,1,1,"In order to establish possible stimulatory effects of increasing plasma concentrations of pituitary adenylate cyclase-activating polypeptide (PACAP) on arginine vasopressin (AVP) and/or oxytocin (OT) secretion, successively increasing doses of PACAP-38 (2, 4 and 8 pmol kg min-1; each dose for 20 min) were infused in seven normal men.... These findings demonstrate for the first time in humans that the systemic administration of PACAP exerts stimulatory effects on AVP, but not OT secretion.... eng"
chebi.3815,Collagen,collagen,reflected,ncbi.4318,MMP9,MMP-9,"Degradation and synthesis of collagen as reflected by MMP-1, MMP-9 and ACE levels was up-regulated.",Standard Abstract,1,1,15222292,https://www.ncbi.nlm.nih.gov/pubmed/15222292,1,1,"Age-related loss of elasticity of the naturally compliant aortic root disrupts the coordinated function of the valve leaflets.... Degradation and synthesis of collagen as reflected by MMP-1, MMP-9 and ACE levels was up-regulated.... eng"
nlm.D011803,Quinine,quinine pretreatment,increased,ncbi.8532,CPZ,CPZ,"Chloroquine and quinine pretreatment increased urinary excretion of CPZ and its metabolites, probably due to occupation of CPZ-binding sites rather than as a result of enzyme induction.",Standard Abstract,1,1,6622517,https://www.ncbi.nlm.nih.gov/pubmed/6622517,1,1,"The metabolic oxidation of chlorpromazine (CPZ) was investigated after pretreatment of rats with some drugs and chemicals for 6 days.... Chloroquine and quinine pretreatment increased urinary excretion of CPZ and its metabolites, probably due to occupation of CPZ-binding sites rather than as a result of enzyme induction.... eng"
nlm.D005780,Gelatin,gelatin microspheres,incorporating,ncbi.2247,FGF2,basic fibroblast growth factor,This study is an investigation to evaluate the feasibility of in advance angiogenesis by gelatin microspheres incorporating basic fibroblast growth factor (bFGF) for the transplantation therapy of cardiomyocytes with an ischemic cardiomyopathy model.,Standard Abstract,1,1,12580776,https://www.ncbi.nlm.nih.gov/pubmed/12580776,1,1,Several studies have demonstrated that cell transplantation was effective for the therapy of myocardial infarction.... This study is an investigation to evaluate the feasibility of in advance angiogenesis by gelatin microspheres incorporating basic fibroblast growth factor (bFGF) for the transplantation therapy of cardiomyocytes with an ischemic cardiomyopathy model.... eng
nal_thesaurus.10381,histamine,local histamine release,may induce,ncbi.102723508,KANTR,spasm,"Review of the literature suggests that local histamine release may induce spasm of the coronary vasculature, thus leading to myocardial ischemia and infarction.",Standard Abstract,1,1,11288975,https://www.ncbi.nlm.nih.gov/pubmed/11288975,1,1,"Myocardial infarction (MI) occurring during the course of an allergic urticarial reaction in the absence of systemic hypotension has been rarely reported.... Review of the literature suggests that local histamine release may induce spasm of the coronary vasculature, thus leading to myocardial ischemia and infarction.... eng"
nlm.D000906_group_29_3416ae7808989f28a285db37d4b00b5c,Antibodies,antibodies,chrysops,ncbi.1543,CYP1A1,CYP1A1,"We investigated effects on hepatic CYP1A and CYP3A protein expression in protein blots, using antibodies against scup (Stenotomus chrysops) CYP1A1 and rainbow trout (Oncorhynchus mykiss) CYP3A.",Standard Abstract,1,1,15084407,https://www.ncbi.nlm.nih.gov/pubmed/15084407,1,1,"Alkylphenols are continuously released into the ocean as a result of offshore oil production.... We investigated effects on hepatic CYP1A and CYP3A protein expression in protein blots, using antibodies against scup (Stenotomus chrysops) CYP1A1 and rainbow trout (Oncorhynchus mykiss) CYP3A.... eng"
nlm.D016023,Integrins,beta 1 integrins,might play,ncbi.22915,MMRN1,ECM,"Therefore, the tight binding of rheumatoid FBS to the matrix via beta 1 integrins might play a role in ECM remodelling in the rheumatoid process in vivo.",Standard Abstract,1,1,9059141,https://www.ncbi.nlm.nih.gov/pubmed/9059141,1,1,"To compare in vitro expression of beta 1, beta 3, and beta 4 integrins in normal fibroblast-like synoviocytes (FBS) and in FBS from rheumatoid arthritis (RA) synovium and to investigate the adhesion of normal FBS and RA-FBS to the integrin binding extracellular matrix (ECM) proteins: collagen type IV, fibronectin, laminin, and tenascin.... Therefore, the tight binding of rheumatoid FBS to the matrix via beta 1 integrins might play a role in ECM remodelling in the rheumatoid process in vivo.... eng"
nlm.D013925,Thromboplastin,tissue factor,promotes,ncbi.2149,F2R,PAR1,"Overall, our results enlighten the mechanism by which tissue factor promotes tumor growth through PAR1, and they show how EPCR can attenuate the growth of tissue factor-expressing tumor cells.",Standard Abstract,1,1,23539451,https://www.ncbi.nlm.nih.gov/pubmed/23539451,1,1,"The procoagulant protein tissue factor (F3) is a powerful growth promoter in many tumors, but its mechanism of action is not well understood.... Overall, our results enlighten the mechanism by which tissue factor promotes tumor growth through PAR1, and they show how EPCR can attenuate the growth of tissue factor-expressing tumor cells.... eng"
